no_invoice,kode_produk,berat,kuantitas,harga,sub_total
V0000233,S0000111,10,8,344071,3689000
V0000389,S000013,9,3,766951,6051000
V0000150,S000042,4,6,276014,5179000
V0000151,S000077,7,5,939216,6519000
V0000362,S0000205,10,7,844098,8899000
V0000152,S0000188,2,7,920322,9223000
V0000330,S0000154,6,2,202477,8639000
V000049,S000032,9,7,92195,2617000
V00004,S0000102,5,3,6416,3756000
V0000257,S000096,7,5,468631,9898000
V0000372,S00008,3,6,779781,7976000
V0000246,S0000141,1,2,247401,9209000
V0000242,S000082,4,1,735757,3057000
V000083,S0000221,2,5,967645,8546000
V000096,S00008,8,6,779781,3201000
V0000313,S000030,3,2,185796,3688000
V0000348,S000020,10,7,21690,6822000
V000072,S0000139,10,6,3485,9377000
V0000392,S000019,10,7,192485,3152000
V000042,S000069,5,8,37235,4034000
V0000275,S000021,5,7,457012,5580000
V0000372,S000081,5,7,477553,7976000
V000055,S0000247,7,3,266902,2253000
V0000188,S0000121,6,4,425952,4583000
V0000133,S000074,2,5,859771,5315000
V000076,S0000136,6,6,304282,7257000
V0000252,S0000180,4,1,495727,9552000
V0000451,S000056,1,4,793166,2481000
V000037,S0000175,6,6,115761,672000
V0000457,S0000136,2,1,304282,7472000
V0000360,S000082,7,4,735757,548000
V000048,S000049,1,4,232876,8320000
V000099,S0000207,3,4,843223,1216000
V0000377,S0000135,3,7,826060,1971000
V000090,S0000149,1,3,114740,3815000
V000087,S0000238,9,1,749502,1323000
V000044,S0000225,10,2,235421,2965000
V0000100,S000048,6,7,544664,6292000
V0000335,S0000205,4,8,844098,1284000
V000021,S0000103,8,7,550870,7805000
V0000205,S0000112,3,2,506803,1613000
V0000270,S00003,10,6,940943,265000
V000013,S0000200,10,1,438617,8715000
V0000137,S0000206,10,2,386772,857000
V0000309,S000026,1,7,625885,112000
V0000226,S00003,10,8,940943,4303000
V000091,S000080,3,5,167442,2236000
V000088,S0000223,2,8,912544,4649000
V0000231,S000097,9,6,761494,3632000
V0000215,S000023,7,8,630680,6093000
V0000256,S0000149,1,10,114740,8990000
V0000477,S0000147,5,9,877351,7462000
V0000388,S00006,3,10,807568,7800000
V000092,S0000205,10,9,844098,643000
V0000479,S0000119,10,6,600809,7273000
V000039,S0000157,6,4,527739,3885000
V0000191,S00003,8,10,940943,8324000
V0000433,S000045,7,6,447138,5042000
V000050,S000047,7,4,711867,5769000
V0000242,S0000142,3,5,289898,3057000
V0000197,S0000118,3,4,583138,1030000
V000087,S0000201,4,1,480700,1323000
V000091,S0000189,7,7,462431,2236000
V0000383,S0000245,8,4,268609,7290000
V0000131,S0000163,6,1,767084,5585000
V0000377,S0000227,2,3,947455,1971000
V000031,S0000145,3,5,271759,3696000
V0000219,S000025,2,10,317629,29000
V0000294,S0000154,8,4,202477,3116000
V0000481,S000012,3,6,284549,8302000
V000012,S000061,9,6,597925,6986000
V0000118,S0000114,9,8,882536,6054000
V0000440,S000086,8,3,301903,9774000
V0000242,S000087,4,7,760984,3057000
V000063,S000077,1,2,939216,4394000
V000081,S0000127,1,1,205371,8752000
V00009,S0000233,5,8,457239,5860000
V0000223,S000086,8,1,301903,1509000
V000063,S0000129,2,4,950593,4394000
V0000388,S0000171,4,6,875127,7800000
V000058,S000088,9,6,468264,4202000
V0000347,S0000133,8,7,252486,598000
V0000186,S0000146,8,5,890641,5625000
V000028,S0000158,10,1,425769,4772000
V0000163,S0000228,8,7,232606,5320000
V000053,S0000223,9,8,912544,4231000
V0000479,S0000162,1,8,43628,7273000
V0000126,S0000246,2,6,791706,8623000
V0000122,S0000240,5,9,583093,8181000
V0000450,S000099,9,3,466014,1457000
V0000148,S0000112,1,5,506803,3323000
V0000467,S0000218,3,8,732825,338000
V0000180,S0000144,6,3,90059,764000
V0000460,S0000232,10,10,11804,6193000
V000065,S0000112,8,4,506803,7439000
V0000364,S000056,6,2,793166,4650000
V0000319,S000065,10,7,592870,1551000
V0000433,S0000126,9,7,760092,5042000
V0000155,S0000120,8,8,726454,788000
V0000281,S0000122,7,5,84465,7185000
V0000260,S000088,10,8,468264,4924000
V0000392,S0000233,9,3,457239,3152000
V0000358,S0000217,8,3,193002,1324000
V0000377,S0000115,3,10,870609,1971000
V00008,S000072,7,2,753044,9458000
V0000467,S0000130,7,2,13137,338000
V0000208,S000039,10,8,929519,8962000
V0000211,S0000158,8,3,425769,7844000
V0000233,S000049,10,9,232876,3689000
V0000248,S0000149,4,2,114740,3984000
V0000137,S0000132,8,8,400171,857000
V0000111,S0000142,1,9,289898,2155000
V0000420,S0000174,9,6,532517,3962000
V0000108,S0000241,5,10,782966,9398000
V0000199,S0000136,2,9,304282,5966000
V0000123,S0000194,2,4,873946,4308000
V000091,S000090,7,4,981861,2236000
V0000308,S000061,9,3,597925,4491000
V0000431,S0000232,5,3,11804,9824000
V0000248,S0000184,10,8,634948,3984000
V0000428,S000030,3,1,185796,672000
V000076,S000019,3,5,192485,7257000
V0000295,S0000181,2,8,734851,4845000
V0000407,S0000116,8,8,328460,7624000
V000011,S0000162,9,4,43628,5901000
V000053,S0000201,3,5,480700,4231000
V0000260,S0000190,10,6,942849,4924000
V0000307,S0000100,1,4,458240,6878000
V0000244,S0000149,4,9,114740,3351000
V0000201,S0000235,9,1,509335,3270000
V0000406,S0000190,6,4,942849,1813000
V0000206,S0000230,6,9,178919,293000
V0000245,S000036,5,1,271392,4462000
V0000316,S0000222,3,5,593023,112000
V0000100,S0000185,10,2,918522,6292000
V0000103,S000027,7,1,508865,793000
V0000499,S0000188,9,5,920322,570000
V0000230,S000067,3,1,325691,2808000
V0000117,S000084,3,6,772416,2761000
V0000344,S0000214,8,1,569845,1909000
V0000435,S000084,6,8,772416,7914000
V0000366,S0000216,7,1,122362,739000
V0000416,S000045,1,3,447138,1465000
V0000407,S0000107,6,5,688007,7624000
V0000333,S0000158,3,6,425769,9948000
V0000451,S000088,6,4,468264,2481000
V0000291,S000059,8,3,224387,8414000
V0000395,S0000145,9,3,271759,1806000
V0000279,S000081,8,6,477553,5334000
V0000495,S000078,2,8,292372,4247000
V0000437,S0000193,2,10,875495,4852000
V0000224,S0000197,1,5,69687,8426000
V0000209,S000063,2,5,554,3807000
V0000387,S0000154,6,1,202477,4024000
V0000215,S0000158,10,3,425769,6093000
V0000483,S000015,5,3,379100,6044000
V0000121,S000095,8,6,611382,7597000
V0000343,S000092,4,8,294908,5397000
V0000406,S0000212,9,1,495617,1813000
V0000427,S0000206,1,6,386772,9396000
V0000331,S0000187,2,10,57520,3154000
V0000195,S0000177,10,4,781962,6883000
V000048,S000043,9,8,917810,8320000
V00001,S0000186,4,3,516523,4074000
V0000436,S000013,9,4,766951,6545000
V000058,S0000108,3,8,704199,4202000
V0000298,S0000183,9,5,243214,3447000
V0000122,S000065,8,8,592870,8181000
V0000312,S000031,10,2,359577,4560000
V0000249,S0000123,3,3,117639,8988000
V0000280,S0000216,2,6,122362,8330000
V0000347,S000063,9,9,554,598000
V0000361,S0000166,7,5,698576,7922000
V0000409,S000021,5,8,457012,5899000
V0000331,S0000109,9,10,23674,3154000
V0000131,S0000130,9,1,13137,5585000
V00006,S0000187,3,9,57520,7286000
V000067,S0000238,5,6,749502,2753000
V0000195,S000047,4,6,711867,6883000
V0000455,S0000176,10,7,588149,3978000
V0000344,S000064,5,4,73363,1909000
V0000138,S0000167,3,7,955885,8580000
V0000317,S0000113,7,6,279266,1155000
V0000316,S0000212,1,5,495617,112000
V0000112,S00002,4,1,169643,1934000
V0000262,S0000200,5,3,438617,7397000
V0000334,S0000117,10,2,595375,9191000
V0000326,S000068,7,7,583853,8510000
V0000111,S000077,2,10,939216,2155000
V0000250,S0000220,1,5,457589,2446000
V0000337,S0000134,8,8,796207,228000
V0000125,S0000128,5,2,888318,7679000
V0000381,S0000182,9,6,256560,9963000
V000084,S0000226,4,1,114249,4284000
V000039,S0000184,2,3,634948,3885000
V000070,S0000229,6,6,179010,3890000
V0000156,S0000194,3,8,873946,7120000
V0000132,S00003,5,3,940943,853000
V0000192,S0000129,4,7,950593,1848000
V000067,S0000215,4,8,918114,2753000
V0000202,S000030,5,5,185796,6930000
V0000285,S0000127,2,10,205371,6325000
V0000103,S0000153,3,7,657533,793000
V0000241,S000043,9,10,917810,8037000
V000078,S0000249,3,5,908248,920000
V0000336,S0000140,1,6,240447,4579000
V0000175,S0000180,4,1,495727,8391000
V0000296,S000044,3,6,64538,7602000
V0000139,S0000180,8,1,495727,1690000
V0000175,S0000176,5,10,588149,8391000
V0000215,S0000151,8,9,293586,6093000
V0000466,S000075,8,4,210648,8463000
V0000184,S0000207,6,1,843223,2337000
V0000188,S0000133,4,5,252486,4583000
V0000359,S0000118,3,8,583138,5421000
V0000459,S0000134,9,8,796207,5019000
V0000407,S0000172,9,5,365621,7624000
V000047,S0000195,5,8,28155,6980000
V0000258,S0000205,5,10,844098,264000
V0000474,S0000147,4,3,877351,5268000
V0000385,S0000151,8,10,293586,7512000
V0000469,S0000199,10,3,625636,5926000
V0000392,S000070,3,5,285708,3152000
V0000481,S000036,5,9,271392,8302000
V0000486,S0000103,3,10,550870,2545000
V0000475,S0000151,8,5,293586,2167000
V0000190,S0000235,7,10,509335,1947000
V000022,S000010,7,9,523225,7622000
V0000259,S000098,7,6,602906,9011000
V0000224,S0000209,9,3,951637,8426000
V000065,S000070,6,4,285708,7439000
V0000360,S0000209,6,7,951637,548000
V0000378,S0000192,4,7,902721,9223000
V0000200,S0000232,1,9,11804,4648000
V0000329,S0000118,10,4,583138,5404000
V0000153,S0000118,4,4,583138,1322000
V0000206,S0000190,5,9,942849,293000
V0000210,S0000195,6,7,28155,5084000
V0000456,S0000117,1,8,595375,757000
V000090,S000049,9,2,232876,3815000
V0000370,S0000169,3,9,659235,5083000
V000043,S0000143,10,6,658589,6063000
V0000352,S000031,4,1,359577,3410000
V0000134,S0000244,4,4,635633,2495000
V000053,S0000105,6,8,194202,4231000
V0000467,S0000229,7,7,179010,338000
V000097,S0000171,10,9,875127,1323000
V000025,S00004,1,3,470694,8930000
V000041,S000081,4,6,477553,8499000
V0000389,S000043,5,6,917810,6051000
V0000209,S0000236,4,6,865708,3807000
V0000404,S00001,5,2,754067,7853000
V000012,S000014,3,5,932664,6986000
V0000361,S000026,2,8,625885,7922000
V0000391,S0000174,2,10,532517,1532000
V0000406,S0000119,6,2,600809,1813000
V000073,S000050,2,7,611213,1011000
V0000112,S0000227,2,8,947455,1934000
V0000333,S000026,8,8,625885,9948000
V0000197,S000031,7,1,359577,1030000
V0000362,S000081,6,8,477553,8899000
V0000392,S000046,3,8,338218,3152000
V0000103,S0000176,1,7,588149,793000
V0000318,S0000130,7,9,13137,1899000
V0000286,S0000145,3,10,271759,5411000
V0000347,S000044,8,6,64538,598000
V0000274,S0000113,9,7,279266,8077000
V0000173,S000047,4,9,711867,1865000
V0000295,S0000234,1,5,124374,4845000
V000019,S000013,5,10,766951,2695000
V0000144,S0000134,1,7,796207,1300000
V0000211,S0000105,10,4,194202,7844000
V0000207,S00009,9,10,655428,5388000
V0000278,S0000225,1,5,235421,8801000
V0000145,S0000185,7,10,918522,6151000
V00009,S000042,10,7,276014,5860000
V0000178,S0000222,8,2,593023,3261000
V0000401,S0000150,8,7,36613,7899000
V0000234,S000019,1,5,192485,4636000
V0000405,S0000241,5,7,782966,2629000
V0000112,S0000116,10,1,328460,1934000
V000055,S0000224,8,3,242642,2253000
V0000470,S000016,2,3,218377,1481000
V0000272,S0000248,2,6,93555,9623000
V000026,S0000141,6,1,247401,552000
V000037,S0000226,5,10,114249,672000
V0000422,S0000219,8,4,740107,3507000
V0000124,S0000250,4,6,744079,5336000
V0000491,S000099,8,2,466014,2335000
V0000269,S000041,1,4,198252,9256000
V0000446,S0000171,1,7,875127,3200000
V0000115,S0000178,7,9,633218,59000
V000022,S0000147,3,1,877351,7622000
V0000336,S000013,6,8,766951,4579000
V0000297,S000085,2,9,966700,3446000
V0000190,S000028,4,8,193935,1947000
V0000247,S0000186,10,9,516523,8290000
V0000167,S000016,10,8,218377,9234000
V000071,S0000182,5,5,256560,2718000
V0000112,S0000242,8,10,474150,1934000
V00004,S0000155,6,4,208067,3756000
V0000260,S0000129,7,9,950593,4924000
V0000130,S0000250,2,1,744079,4243000
V0000225,S0000240,5,8,583093,4622000
V0000314,S0000227,8,9,947455,5433000
V0000170,S000089,1,8,869651,4960000
V0000134,S0000102,3,5,6416,2495000
V0000478,S000082,5,3,735757,6226000
V000039,S0000218,8,5,732825,3885000
V0000134,S0000106,2,4,835538,2495000
V0000463,S0000202,2,10,381269,2375000
V0000189,S0000239,7,1,67372,3873000
V0000184,S000032,10,2,92195,2337000
